,Rn
284,5.780644294349798
285,4.176631422039601
286,5.873980387471921
287,5.086814014488006
288,4.356841151565068
289,3.896400426531917
290,4.7417586964883744
291,4.292059616896051
292,5.0564819573469695
293,5.074444225932734
294,5.519555904141774
295,4.758890915280166
296,5.960167517454527
297,4.449586192529056
298,3.8890200060684474
299,5.783612394134694
300,3.839037510954025
301,4.590864763558429
302,4.434925592603391
303,3.5532174982144795
304,3.616494197649752
305,3.9689954631032833
306,3.9178658952031933
307,4.384032838164854
308,3.186616689621564
309,3.582371808183383
310,3.464010050751737
311,3.68937130696885
312,3.8992473111146584
313,3.1200801900136597
314,3.071730195937332
315,3.326874692421944
316,2.959416348276422
317,2.923215118505846
318,2.7907135554146167
319,3.275095929914622
320,2.384645465406055
321,1.9140635305580753
322,2.2982331827358626
323,2.1046924529166207
324,2.380394459901842
325,2.2909266471806635
326,2.5669389225457695
327,2.4727246978750914
328,1.2621050161880367
329,2.4137935627757883
330,1.7421209913561881
331,2.5076465319638483
332,2.4763667150356024
333,2.3633745192094584
334,1.713410818118203
335,2.056595347546899
336,1.7178627392107195
337,1.4621010093447246
338,1.2274696661960967
339,2.2629271640677104
340,1.8381559687625177
341,1.4471258161331324
342,1.3891996117420131
343,2.064030102134864
344,2.2773829940287182
345,1.9329746220238953
346,1.1714579136535646
347,1.1398640021080029
348,1.6502539938749434
349,1.2593093652208651
350,1.8953235260455
351,1.1852656053461974
352,1.109588207123319
353,1.793449927201169
354,1.929461869010039
355,2.1411326152226877
356,1.5690421496380536
357,1.8817317804042428
358,2.005747082483955
359,2.222723114717741
360,2.2680193818341152
361,2.2768270316475
362,1.7397526106143362
363,1.6512824163921058
364,1.6073424374991099
365,1.631425277635043
366,1.2870222478100324
367,1.7599311535555815
368,1.4813981687624649
369,1.199554971099273
370,1.801633194994749
371,1.775211878885913
372,1.5743548058789187
373,2.276750925255458
374,1.8517981908318353
375,2.4545206926777694
376,2.4981400459026526
377,2.5065880357680257
378,2.6835367017587672
379,2.4265909603145
380,2.1028591306736066
